                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.96582,                 2.9603,                 1.3307,                0.00761,                 0.6791,                0.28303,                0.20504,                0.75588,                 3.1339,                 1.1947,                 0.0865,                 0.0015,                 0.0015
                      1,                0.90444,                 2.3823,                 1.2593,                0.50511,                0.45896,                0.33953,                 0.2585,                0.74994,                 2.9581,                 1.1379,               0.071998,              0.0029977,              0.0029977
                      2,                0.85344,                 1.6556,                 1.2019,                0.83978,                0.13452,                0.43525,                0.31484,                  0.883,                 2.8605,                  1.271,                0.05739,              0.0043898,              0.0043898
                      3,                0.92266,                 1.4643,                 1.2452,                0.90705,                0.31059,                0.70191,                0.48636,                 1.0144,                 2.5811,                 1.3484,               0.042676,              0.0056763,              0.0056763
                      4,                 0.8694,                 1.3276,                 1.1987,                0.84319,                0.40059,                0.69101,                0.48242,                 1.0031,                 2.3727,                 1.3535,               0.027857,              0.0068572,              0.0068572
                      5,                0.90396,                 1.2723,                  1.217,                0.79735,                0.54645,                0.69798,                0.48114,                 1.0548,                 2.0783,                 1.3966,               0.012932,              0.0079325,              0.0079325
                      6,                0.89803,                 1.2076,                 1.2156,                0.69169,                0.65593,                0.73349,                0.47122,                 1.1546,                 2.0064,                 1.4746,                0.00802,                0.00802,                0.00802
                      7,                0.88226,                 1.1794,                 1.1973,                0.65188,                0.63971,                0.69216,                0.43236,                 1.2521,                 2.0095,                 1.6562,                0.00802,                0.00802,                0.00802
                      8,                0.88897,                 1.1282,                 1.2183,                0.77174,                0.67838,                0.74717,                0.50991,                 1.0796,                 1.7263,                  1.469,                0.00769,                0.00769,                0.00769
                      9,                0.92052,                 1.1185,                 1.2346,                0.60215,                0.59186,                0.63713,                 0.3832,                 1.3105,                 2.1359,                 1.6878,                0.00736,                0.00736,                0.00736
                     10,                0.86798,                 1.0904,                 1.2102,                  0.733,                0.69259,                0.71631,                 0.4861,                 1.1176,                 1.5949,                 1.4607,                0.00703,                0.00703,                0.00703
                     11,                0.85901,                 1.0236,                 1.1884,                0.76626,                0.65506,                0.71753,                0.46041,                 1.2799,                 1.5971,                 1.5779,                 0.0067,                 0.0067,                 0.0067
                     12,                0.85827,                 1.0381,                 1.1868,                0.73982,                0.73566,                0.72624,                0.51272,                  1.078,                 1.5549,                  1.438,                0.00637,                0.00637,                0.00637
                     13,                0.82652,                 1.0584,                 1.1985,                0.78624,                0.69851,                0.74268,                0.52782,                  1.109,                 1.4224,                 1.4611,                0.00604,                0.00604,                0.00604
                     14,                0.83614,                0.99616,                 1.1847,                0.86557,                0.69259,                0.76782,                0.54831,                 1.0885,                 1.4218,                 1.5102,                0.00571,                0.00571,                0.00571
                     15,                  0.831,                0.94263,                 1.1775,                 0.8462,                0.69642,                0.77315,                0.55822,                 1.0565,                 1.3115,                 1.4703,                0.00538,                0.00538,                0.00538
                     16,                0.80069,                0.95919,                 1.1623,                0.87914,                0.68235,                0.79742,                0.57405,                 1.0549,                 1.2571,                 1.4368,                0.00505,                0.00505,                0.00505
                     17,                0.79464,                0.90797,                 1.1472,                0.78586,                0.72692,                0.81646,                0.60111,                0.95322,                 1.2546,                 1.3637,                0.00472,                0.00472,                0.00472
                     18,                0.81796,                0.93244,                 1.1569,                0.85137,                0.76178,                0.82628,                0.59731,                0.94211,                 1.1534,                 1.3182,                0.00439,                0.00439,                0.00439
                     19,                0.76871,                0.89723,                 1.1449,                0.80952,                0.78551,                0.80954,                0.58899,                0.95156,                 1.1285,                 1.2853,                0.00406,                0.00406,                0.00406
                     20,                0.74292,                0.85585,                 1.1387,                0.81692,                0.78906,                 0.8133,                0.59821,                 0.9654,                 1.1028,                 1.2893,                0.00373,                0.00373,                0.00373
                     21,                0.74574,                 0.8939,                 1.1374,                0.80981,                0.77875,                0.80203,                0.58202,                 1.0231,                 1.1818,                 1.3041,                 0.0034,                 0.0034,                 0.0034
                     22,                 0.7393,                0.85512,                 1.1249,                0.79529,                0.79087,                0.82574,                0.61666,                0.93965,                 1.0943,                 1.2882,                0.00307,                0.00307,                0.00307
                     23,                0.72172,                0.82922,                 1.1092,                0.82288,                0.76306,                0.82902,                0.61476,                0.87489,                 1.0571,                 1.2347,                0.00274,                0.00274,                0.00274
                     24,                0.69603,                0.79854,                 1.0971,                0.88061,                0.74693,                0.84467,                 0.6165,                0.90281,                  1.023,                 1.2351,                0.00241,                0.00241,                0.00241
                     25,                0.67816,                0.76647,                  1.096,                0.88208,                0.75107,                0.84823,                0.62672,                0.91528,                0.99357,                  1.267,                0.00208,                0.00208,                0.00208
                     26,                0.69047,                0.78699,                 1.0961,                0.85532,                0.78679,                0.85379,                0.63826,                0.86678,                0.97891,                 1.2296,                0.00175,                0.00175,                0.00175
                     27,                0.68802,                0.78539,                 1.0947,                0.80712,                0.81151,                0.85044,                0.62977,                0.85601,                0.99912,                  1.195,                0.00142,                0.00142,                0.00142
                     28,                0.67475,                0.76684,                 1.0856,                0.78703,                 0.8335,                0.83947,                0.62786,                0.85906,                0.99272,                 1.2108,                0.00109,                0.00109,                0.00109
                     29,                0.67051,                0.79273,                 1.1003,                0.82532,                0.77018,                0.82979,                0.62302,                0.85573,                0.99331,                 1.2164,                0.00076,                0.00076,                0.00076
